,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
8,Wed Oct 20 2021,20:00,Philadelphia 76ers,117,New Orleans Pelicans,97,0,12845.0,Smoothie King Center,Philadelphia 76ers,False,-20,20
22,Fri Oct 22 2021,20:00,New Orleans Pelicans,112,Chicago Bulls,128,0,20995.0,United Center,Chicago Bulls,True,16,16
30,Sat Oct 23 2021,20:00,New Orleans Pelicans,89,Minnesota Timberwolves,96,0,15343.0,Target Center,Minnesota Timberwolves,True,7,7
46,Mon Oct 25 2021,20:00,New Orleans Pelicans,107,Minnesota Timberwolves,98,0,14435.0,Target Center,New Orleans Pelicans,False,-9,9
58,Wed Oct 27 2021,19:30,Atlanta Hawks,102,New Orleans Pelicans,99,0,15541.0,Smoothie King Center,Atlanta Hawks,False,-3,3
73,Fri Oct 29 2021,20:00,Sacramento Kings,113,New Orleans Pelicans,109,0,17507.0,Smoothie King Center,Sacramento Kings,False,-4,4
79,Sat Oct 30 2021,19:00,New York Knicks,123,New Orleans Pelicans,117,0,16508.0,Smoothie King Center,New York Knicks,False,-6,6
105,Tue Nov 2 2021,22:00,New Orleans Pelicans,100,Phoenix Suns,112,0,14323.0,Phoenix Suns Arena,Phoenix Suns,True,12,12
117,Wed Nov 3 2021,22:00,New Orleans Pelicans,99,Sacramento Kings,112,0,0.0,Golden 1 Center,Sacramento Kings,True,13,13
129,Fri Nov 5 2021,22:00,New Orleans Pelicans,85,Golden State Warriors,126,0,18064.0,Chase Center,Golden State Warriors,True,41,41
149,Mon Nov 8 2021,20:30,New Orleans Pelicans,92,Dallas Mavericks,108,0,19231.0,American Airlines Center,Dallas Mavericks,True,16,16
164,Wed Nov 10 2021,20:00,Oklahoma City Thunder,108,New Orleans Pelicans,100,0,15355.0,Smoothie King Center,Oklahoma City Thunder,False,-8,8
178,Fri Nov 12 2021,20:00,Brooklyn Nets,120,New Orleans Pelicans,112,0,14650.0,Smoothie King Center,Brooklyn Nets,False,-8,8
186,Sat Nov 13 2021,19:00,Memphis Grizzlies,101,New Orleans Pelicans,112,0,14358.0,Smoothie King Center,New Orleans Pelicans,True,11,11
200,Mon Nov 15 2021,19:00,New Orleans Pelicans,100,Washington Wizards,105,0,13914.0,Capital One Arena,Washington Wizards,True,5,5
216,Wed Nov 17 2021,19:30,New Orleans Pelicans,98,Miami Heat,113,0,19600.0,FTX Arena,Miami Heat,True,15,15
234,Fri Nov 19 2021,20:00,Los Angeles Clippers,81,New Orleans Pelicans,94,0,15274.0,Smoothie King Center,New Orleans Pelicans,True,13,13
