,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
3,Wed Oct 20 2021,19:00,Chicago Bulls,94,Detroit Pistons,88,0,20088.0,Little Caesars Arena,Chicago Bulls,False,-6,6
29,Sat Oct 23 2021,20:00,Detroit Pistons,82,Chicago Bulls,97,0,18888.0,United Center,Chicago Bulls,True,15,15
45,Mon Oct 25 2021,19:30,Detroit Pistons,104,Atlanta Hawks,122,0,14209.0,State Farm Arena,Atlanta Hawks,True,18,18
65,Thu Oct 28 2021,19:00,Detroit Pistons,102,Philadelphia 76ers,110,0,20017.0,Wells Fargo Center,Philadelphia 76ers,True,8,8
78,Sat Oct 30 2021,19:00,Orlando Magic,103,Detroit Pistons,110,0,11423.0,Little Caesars Arena,Detroit Pistons,True,7,7
91,Sun Oct 31 2021,19:30,Detroit Pistons,91,Brooklyn Nets,117,0,13507.0,Barclays Center,Brooklyn Nets,True,26,26
102,Tue Nov 2 2021,19:00,Milwaukee Bucks,117,Detroit Pistons,89,0,9254.0,Little Caesars Arena,Milwaukee Bucks,False,-28,28
118,Thu Nov 4 2021,19:00,Philadelphia 76ers,109,Detroit Pistons,98,0,8702.0,Little Caesars Arena,Philadelphia 76ers,False,-11,11
123,Fri Nov 5 2021,19:00,Brooklyn Nets,96,Detroit Pistons,90,0,14235.0,Little Caesars Arena,Brooklyn Nets,False,-6,6
160,Wed Nov 10 2021,19:30,Detroit Pistons,112,Houston Rockets,104,0,15350.0,Toyota Center,Detroit Pistons,False,-8,8
175,Fri Nov 12 2021,19:30,Detroit Pistons,78,Cleveland Cavaliers,98,0,17095.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True,20,20
188,Sat Nov 13 2021,19:30,Detroit Pistons,127,Toronto Raptors,121,0,19800.0,Scotiabank Arena,Detroit Pistons,False,-6,6
199,Mon Nov 15 2021,19:00,Sacramento Kings,129,Detroit Pistons,107,0,10092.0,Little Caesars Arena,Sacramento Kings,False,-22,22
213,Wed Nov 17 2021,19:00,Indiana Pacers,89,Detroit Pistons,97,0,11457.0,Little Caesars Arena,Detroit Pistons,True,8,8
230,Fri Nov 19 2021,19:00,Golden State Warriors,105,Detroit Pistons,102,0,20088.0,Little Caesars Arena,Golden State Warriors,False,-3,3
248,Sun Nov 21 2021,18:00,Los Angeles Lakers,121,Detroit Pistons,116,0,15532.0,Little Caesars Arena,Los Angeles Lakers,False,-5,5
262,Tue Nov 23 2021,19:00,Miami Heat,100,Detroit Pistons,92,0,13123.0,Little Caesars Arena,Miami Heat,False,-8,8
272,Wed Nov 24 2021,20:00,Detroit Pistons,93,Milwaukee Bucks,114,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,21,21
279,Fri Nov 26 2021,15:30,Detroit Pistons,96,Los Angeles Clippers,107,0,18139.0,Crypto.com Arena,Los Angeles Clippers,True,11,11
303,Sun Nov 28 2021,21:30,Detroit Pistons,106,Los Angeles Lakers,110,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,4,4
316,Tue Nov 30 2021,22:00,Detroit Pistons,92,Portland Trail Blazers,110,0,16071.0,Moda Center,Portland Trail Blazers,True,18,18
330,Thu Dec 2 2021,21:00,Detroit Pistons,103,Phoenix Suns,114,0,0.0,Phoenix Suns Arena,Phoenix Suns,True,11,11
353,Mon Dec 6 2021,19:00,Oklahoma City Thunder,114,Detroit Pistons,103,0,10522.0,Little Caesars Arena,Oklahoma City Thunder,False,-11,11
367,Wed Dec 8 2021,19:00,Washington Wizards,119,Detroit Pistons,116,1,10499.0,Little Caesars Arena,Washington Wizards,False,-3,3
387,Fri Dec 10 2021,20:00,Detroit Pistons,93,New Orleans Pelicans,109,0,15828.0,Smoothie King Center,New Orleans Pelicans,True,16,16
398,Sun Dec 12 2021,18:00,Brooklyn Nets,116,Detroit Pistons,104,0,15289.0,Little Caesars Arena,Brooklyn Nets,False,-12,12
426,Thu Dec 16 2021,19:00,Detroit Pistons,113,Indiana Pacers,122,0,13596.0,Gainbridge Fieldhouse,Indiana Pacers,True,9,9
438,Sat Dec 18 2021,24:00,Houston Rockets,116,Detroit Pistons,107,0,13722.0,Little Caesars Arena,Houston Rockets,False,-9,9
445,Sun Dec 19 2021,18:00,Miami Heat,90,Detroit Pistons,100,0,15188.0,Little Caesars Arena,Detroit Pistons,True,10,10
458,Tue Dec 21 2021,19:30,Detroit Pistons,91,New York Knicks,105,0,17906.0,Madison Square Garden (IV),New York Knicks,True,14,14
470,Thu Dec 23 2021,19:30,Detroit Pistons,112,Miami Heat,115,0,19600.0,FTX Arena,Miami Heat,True,3,3
488,Sun Dec 26 2021,19:00,Detroit Pistons,109,San Antonio Spurs,144,0,14715.0,AT&T Center,San Antonio Spurs,True,35,35
506,Wed Dec 29 2021,19:00,New York Knicks,94,Detroit Pistons,85,0,18312.0,Little Caesars Arena,New York Knicks,False,-9,9
528,Sat Jan 1 2022,19:00,San Antonio Spurs,116,Detroit Pistons,117,1,18911.0,Little Caesars Arena,Detroit Pistons,True,1,1
544,Mon Jan 3 2022,20:00,Detroit Pistons,115,Milwaukee Bucks,106,0,17341.0,Fiserv Forum,Detroit Pistons,False,-9,9
555,Wed Jan 5 2022,19:00,Detroit Pistons,111,Charlotte Hornets,140,0,14427.0,Spectrum Center,Charlotte Hornets,True,29,29
567,Thu Jan 6 2022,20:00,Detroit Pistons,88,Memphis Grizzlies,118,0,12983.0,FedEx Forum,Memphis Grizzlies,True,30,30
581,Sat Jan 8 2022,19:00,Orlando Magic,92,Detroit Pistons,97,0,18644.0,Little Caesars Arena,Detroit Pistons,True,5,5
596,Mon Jan 10 2022,19:00,Utah Jazz,116,Detroit Pistons,126,0,17834.0,Little Caesars Arena,Detroit Pistons,True,10,10
604,Tue Jan 11 2022,20:00,Detroit Pistons,87,Chicago Bulls,133,0,19886.0,United Center,Chicago Bulls,True,46,46
623,Fri Jan 14 2022,19:00,Toronto Raptors,87,Detroit Pistons,103,0,18011.0,Little Caesars Arena,Detroit Pistons,True,16,16
