,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
0,Tue Oct 19 2021,19:30,Brooklyn Nets,104,Milwaukee Bucks,127,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,23,23
14,Thu Oct 21 2021,20:00,Milwaukee Bucks,95,Miami Heat,137,0,19600.0,FTX Arena,Miami Heat,True,42,42
31,Sat Oct 23 2021,20:30,Milwaukee Bucks,121,San Antonio Spurs,111,0,14353.0,AT&T Center,Milwaukee Bucks,False,-10,10
41,Mon Oct 25 2021,19:00,Milwaukee Bucks,119,Indiana Pacers,109,0,10339.0,Gainbridge Fieldhouse,Milwaukee Bucks,False,-10,10
59,Wed Oct 27 2021,20:00,Minnesota Timberwolves,113,Milwaukee Bucks,108,0,17341.0,Fiserv Forum,Minnesota Timberwolves,False,-5,5
84,Sat Oct 30 2021,20:00,San Antonio Spurs,102,Milwaukee Bucks,93,0,17341.0,Fiserv Forum,San Antonio Spurs,False,-9,9
90,Sun Oct 31 2021,19:00,Utah Jazz,107,Milwaukee Bucks,95,0,17341.0,Fiserv Forum,Utah Jazz,False,-12,12
102,Tue Nov 2 2021,19:00,Milwaukee Bucks,117,Detroit Pistons,89,0,9254.0,Little Caesars Arena,Milwaukee Bucks,False,-28,28
126,Fri Nov 5 2021,19:30,New York Knicks,113,Milwaukee Bucks,98,0,17341.0,Fiserv Forum,New York Knicks,False,-15,15
142,Sun Nov 7 2021,18:00,Milwaukee Bucks,94,Washington Wizards,101,0,15570.0,Capital One Arena,Washington Wizards,True,7,7
154,Tue Nov 9 2021,19:30,Milwaukee Bucks,118,Philadelphia 76ers,109,0,20029.0,Wells Fargo Center,Milwaukee Bucks,False,-9,9
161,Wed Nov 10 2021,19:30,Milwaukee Bucks,112,New York Knicks,100,0,18027.0,Madison Square Garden (IV),Milwaukee Bucks,False,-12,12
174,Fri Nov 12 2021,19:30,Milwaukee Bucks,113,Boston Celtics,122,1,19156.0,TD Garden,Boston Celtics,True,9,9
192,Sun Nov 14 2021,18:00,Milwaukee Bucks,100,Atlanta Hawks,120,0,16901.0,State Farm Arena,Atlanta Hawks,True,20,20
217,Wed Nov 17 2021,19:30,Los Angeles Lakers,102,Milwaukee Bucks,109,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,7,7
233,Fri Nov 19 2021,20:00,Oklahoma City Thunder,89,Milwaukee Bucks,96,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,7,7
243,Sat Nov 20 2021,20:00,Orlando Magic,108,Milwaukee Bucks,117,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,9,9
257,Mon Nov 22 2021,20:00,Orlando Magic,92,Milwaukee Bucks,123,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,31,31
272,Wed Nov 24 2021,20:00,Detroit Pistons,93,Milwaukee Bucks,114,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,21,21
287,Fri Nov 26 2021,21:00,Milwaukee Bucks,120,Denver Nuggets,109,0,19520.0,Ball Arena,Milwaukee Bucks,False,-11,11
300,Sun Nov 28 2021,17:00,Milwaukee Bucks,118,Indiana Pacers,100,0,13130.0,Gainbridge Fieldhouse,Milwaukee Bucks,False,-18,18
