,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
5,Wed Oct 20 2021,19:30,Washington Wizards,98,Toronto Raptors,83,0,19800.0,Scotiabank Arena,Washington Wizards,False,-15,15
17,Fri Oct 22 2021,19:00,Indiana Pacers,134,Washington Wizards,135,1,15407.0,Capital One Arena,Washington Wizards,True,1,1
44,Mon Oct 25 2021,19:30,Washington Wizards,90,Brooklyn Nets,104,0,14487.0,Barclays Center,Brooklyn Nets,True,14,14
55,Wed Oct 27 2021,19:30,Washington Wizards,116,Boston Celtics,107,0,19156.0,TD Garden,Washington Wizards,False,-9,9
64,Thu Oct 28 2021,19:00,Atlanta Hawks,111,Washington Wizards,122,0,13653.0,Capital One Arena,Washington Wizards,True,11,11
77,Sat Oct 30 2021,17:00,Boston Celtics,112,Washington Wizards,115,2,15813.0,Capital One Arena,Washington Wizards,True,3,3
96,Mon Nov 1 2021,19:30,Washington Wizards,111,Atlanta Hawks,118,0,14632.0,State Farm Arena,Atlanta Hawks,True,7,7
111,Wed Nov 3 2021,19:00,Toronto Raptors,109,Washington Wizards,100,0,13538.0,Capital One Arena,Toronto Raptors,False,-9,9
125,Fri Nov 5 2021,19:00,Memphis Grizzlies,87,Washington Wizards,115,0,16302.0,Capital One Arena,Washington Wizards,True,28,28
142,Sun Nov 7 2021,18:00,Milwaukee Bucks,94,Washington Wizards,101,0,15570.0,Capital One Arena,Washington Wizards,True,7,7
157,Wed Nov 10 2021,19:00,Washington Wizards,97,Cleveland Cavaliers,94,0,18056.0,Rocket Mortgage Fieldhouse,Washington Wizards,False,-3,3
187,Sat Nov 13 2021,19:00,Washington Wizards,104,Orlando Magic,92,0,17272.0,Amway Center,Washington Wizards,False,-12,12
200,Mon Nov 15 2021,19:00,New Orleans Pelicans,100,Washington Wizards,105,0,13914.0,Capital One Arena,Washington Wizards,True,5,5
212,Wed Nov 17 2021,19:00,Washington Wizards,87,Charlotte Hornets,97,0,14402.0,Spectrum Center,Charlotte Hornets,True,10,10
224,Thu Nov 18 2021,19:30,Washington Wizards,97,Miami Heat,112,0,19600.0,FTX Arena,Miami Heat,True,15,15
240,Sat Nov 20 2021,19:00,Miami Heat,100,Washington Wizards,103,0,20476.0,Capital One Arena,Washington Wizards,True,3,3
253,Mon Nov 22 2021,19:00,Charlotte Hornets,109,Washington Wizards,103,0,16575.0,Capital One Arena,Charlotte Hornets,False,-6,6
274,Wed Nov 24 2021,20:00,Washington Wizards,102,New Orleans Pelicans,127,0,14659.0,Smoothie King Center,New Orleans Pelicans,True,25,25
285,Fri Nov 26 2021,20:00,Washington Wizards,101,Oklahoma City Thunder,99,0,14579.0,Paycom Center,Washington Wizards,False,-2,2
297,Sat Nov 27 2021,20:30,Washington Wizards,120,Dallas Mavericks,114,0,20223.0,American Airlines Center,Washington Wizards,False,-6,6
310,Mon Nov 29 2021,20:30,Washington Wizards,99,San Antonio Spurs,116,0,12606.0,AT&T Center,San Antonio Spurs,True,17,17
320,Wed Dec 1 2021,19:00,Minnesota Timberwolves,107,Washington Wizards,115,0,15318.0,Capital One Arena,Washington Wizards,True,8,8
333,Fri Dec 3 2021,19:00,Cleveland Cavaliers,116,Washington Wizards,101,0,17227.0,Capital One Arena,Cleveland Cavaliers,False,-15,15
350,Sun Dec 5 2021,18:00,Washington Wizards,90,Toronto Raptors,102,0,19800.0,Scotiabank Arena,Toronto Raptors,True,12,12
354,Mon Dec 6 2021,19:00,Washington Wizards,110,Indiana Pacers,116,0,12581.0,Gainbridge Fieldhouse,Indiana Pacers,True,6,6
367,Wed Dec 8 2021,19:00,Washington Wizards,119,Detroit Pistons,116,1,10499.0,Little Caesars Arena,Washington Wizards,False,-3,3
391,Sat Dec 11 2021,19:00,Utah Jazz,123,Washington Wizards,98,0,17575.0,Capital One Arena,Utah Jazz,False,-25,25
410,Mon Dec 13 2021,21:00,Washington Wizards,107,Denver Nuggets,113,0,14632.0,Ball Arena,Denver Nuggets,True,6,6
424,Wed Dec 15 2021,22:00,Washington Wizards,105,Sacramento Kings,119,0,13806.0,Golden 1 Center,Sacramento Kings,True,14,14
429,Thu Dec 16 2021,21:00,Washington Wizards,98,Phoenix Suns,118,0,16177.0,Phoenix Suns Arena,Phoenix Suns,True,20,20
444,Sat Dec 18 2021,21:00,Washington Wizards,109,Utah Jazz,103,0,18306.0,Vivint Smart Home Arena,Washington Wizards,False,-6,6
471,Thu Dec 23 2021,19:30,Washington Wizards,124,New York Knicks,117,0,18208.0,Madison Square Garden (IV),Washington Wizards,False,-7,7
486,Sun Dec 26 2021,18:00,Philadelphia 76ers,117,Washington Wizards,96,0,16767.0,Capital One Arena,Philadelphia 76ers,False,-21,21
499,Tue Dec 28 2021,19:30,Washington Wizards,112,Miami Heat,119,0,19600.0,FTX Arena,Miami Heat,True,7,7
