,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
0,Tue Oct 19 2021,7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
14,Thu Oct 21 2021,8:00p,Milwaukee Bucks,95,Miami Heat,137,0,19600.0,FTX Arena,Miami Heat,True
31,Sat Oct 23 2021,8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,0,14353.0,AT&T Center,Milwaukee Bucks,False
41,Mon Oct 25 2021,7:00p,Milwaukee Bucks,119,Indiana Pacers,109,0,10339.0,Gainbridge Fieldhouse,Milwaukee Bucks,False
59,Wed Oct 27 2021,8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,0,17341.0,Fiserv Forum,Minnesota Timberwolves,False
84,Sat Oct 30 2021,8:00p,San Antonio Spurs,102,Milwaukee Bucks,93,0,17341.0,Fiserv Forum,San Antonio Spurs,False
90,Sun Oct 31 2021,7:00p,Utah Jazz,107,Milwaukee Bucks,95,0,17341.0,Fiserv Forum,Utah Jazz,False
102,Tue Nov 2 2021,7:00p,Milwaukee Bucks,117,Detroit Pistons,89,0,9254.0,Little Caesars Arena,Milwaukee Bucks,False
126,Fri Nov 5 2021,7:30p,New York Knicks,113,Milwaukee Bucks,98,0,17341.0,Fiserv Forum,New York Knicks,False
142,Sun Nov 7 2021,6:00p,Milwaukee Bucks,94,Washington Wizards,101,0,15570.0,Capital One Arena,Washington Wizards,True
154,Tue Nov 9 2021,7:30p,Milwaukee Bucks,118,Philadelphia 76ers,109,0,20029.0,Wells Fargo Center,Milwaukee Bucks,False
161,Wed Nov 10 2021,7:30p,Milwaukee Bucks,112,New York Knicks,100,0,18027.0,Madison Square Garden (IV),Milwaukee Bucks,False
174,Fri Nov 12 2021,7:30p,Milwaukee Bucks,113,Boston Celtics,122,1,19156.0,TD Garden,Boston Celtics,True
192,Sun Nov 14 2021,6:00p,Milwaukee Bucks,100,Atlanta Hawks,120,0,16901.0,State Farm Arena,Atlanta Hawks,True
217,Wed Nov 17 2021,7:30p,Los Angeles Lakers,102,Milwaukee Bucks,109,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
233,Fri Nov 19 2021,8:00p,Oklahoma City Thunder,89,Milwaukee Bucks,96,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
243,Sat Nov 20 2021,8:00p,Orlando Magic,108,Milwaukee Bucks,117,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
257,Mon Nov 22 2021,8:00p,Orlando Magic,92,Milwaukee Bucks,123,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
272,Wed Nov 24 2021,8:00p,Detroit Pistons,93,Milwaukee Bucks,114,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
287,Fri Nov 26 2021,9:00p,Milwaukee Bucks,120,Denver Nuggets,109,0,19520.0,Ball Arena,Milwaukee Bucks,False
300,Sun Nov 28 2021,5:00p,Milwaukee Bucks,118,Indiana Pacers,100,0,13130.0,Gainbridge Fieldhouse,Milwaukee Bucks,False
323,Wed Dec 1 2021,8:00p,Charlotte Hornets,125,Milwaukee Bucks,127,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
328,Thu Dec 2 2021,7:30p,Milwaukee Bucks,93,Toronto Raptors,97,0,19800.0,Scotiabank Arena,Toronto Raptors,True
343,Sat Dec 4 2021,8:00p,Miami Heat,102,Milwaukee Bucks,124,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
357,Mon Dec 6 2021,8:00p,Cleveland Cavaliers,104,Milwaukee Bucks,112,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
369,Wed Dec 8 2021,7:30p,Milwaukee Bucks,104,Miami Heat,113,0,19600.0,FTX Arena,Miami Heat,True
385,Fri Dec 10 2021,8:00p,Milwaukee Bucks,123,Houston Rockets,114,0,16319.0,Toyota Center,Milwaukee Bucks,False
397,Sun Dec 12 2021,12:00p,Milwaukee Bucks,112,New York Knicks,97,0,19812.0,Madison Square Garden (IV),Milwaukee Bucks,False
407,Mon Dec 13 2021,7:30p,Milwaukee Bucks,103,Boston Celtics,117,0,19156.0,TD Garden,Boston Celtics,True
419,Wed Dec 15 2021,8:00p,Indiana Pacers,99,Milwaukee Bucks,114,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
433,Fri Dec 17 2021,8:00p,Milwaukee Bucks,112,New Orleans Pelicans,116,1,15504.0,Smoothie King Center,New Orleans Pelicans,True
443,Sat Dec 18 2021,9:00p,Cleveland Cavaliers,119,Milwaukee Bucks,90,0,17341.0,Fiserv Forum,Cleveland Cavaliers,False
464,Wed Dec 22 2021,8:00p,Houston Rockets,106,Milwaukee Bucks,126,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
472,Thu Dec 23 2021,8:30p,Milwaukee Bucks,102,Dallas Mavericks,95,0,19654.0,American Airlines Center,Milwaukee Bucks,False
479,Sat Dec 25 2021,2:30p,Boston Celtics,113,Milwaukee Bucks,117,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
498,Tue Dec 28 2021,7:00p,Milwaukee Bucks,127,Orlando Magic,110,0,16696.0,Amway Center,Milwaukee Bucks,False
515,Thu Dec 30 2021,7:00p,Milwaukee Bucks,136,Orlando Magic,118,0,15855.0,Amway Center,Milwaukee Bucks,False
527,Sat Jan 1 2022,6:30p,New Orleans Pelicans,113,Milwaukee Bucks,136,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
544,Mon Jan 3 2022,8:00p,Detroit Pistons,115,Milwaukee Bucks,106,0,17341.0,Fiserv Forum,Detroit Pistons,False
561,Wed Jan 5 2022,8:00p,Toronto Raptors,117,Milwaukee Bucks,111,0,17341.0,Fiserv Forum,Toronto Raptors,False
