,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
6,Wed Oct 20 2021,8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,0,15975.0,FedEx Forum,Memphis Grizzlies,True
18,Fri Oct 22 2021,7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,0,17116.0,Rocket Mortgage Fieldhouse,Charlotte Hornets,False
26,Sat Oct 23 2021,6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,0,16846.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
47,Mon Oct 25 2021,9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,0,14221.0,Ball Arena,Cleveland Cavaliers,False
63,Wed Oct 27 2021,10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,0,13276.0,Crypto.com Arena,Cleveland Cavaliers,False
76,Fri Oct 29 2021,10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
87,Sat Oct 30 2021,10:00p,Cleveland Cavaliers,92,Phoenix Suns,101,0,14516.0,Phoenix Suns Arena,Phoenix Suns,True
93,Mon Nov 1 2021,7:00p,Cleveland Cavaliers,113,Charlotte Hornets,110,0,13889.0,Spectrum Center,Cleveland Cavaliers,False
107,Wed Nov 3 2021,7:00p,Portland Trail Blazers,104,Cleveland Cavaliers,107,0,16231.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
127,Fri Nov 5 2021,7:30p,Cleveland Cavaliers,102,Toronto Raptors,101,0,19800.0,Scotiabank Arena,Cleveland Cavaliers,False
139,Sun Nov 7 2021,6:00p,Cleveland Cavaliers,126,New York Knicks,109,0,19040.0,Madison Square Garden (IV),Cleveland Cavaliers,False
157,Wed Nov 10 2021,7:00p,Washington Wizards,97,Cleveland Cavaliers,94,0,18056.0,Rocket Mortgage Fieldhouse,Washington Wizards,False
175,Fri Nov 12 2021,7:30p,Detroit Pistons,78,Cleveland Cavaliers,98,0,17095.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
189,Sat Nov 13 2021,8:00p,Boston Celtics,89,Cleveland Cavaliers,91,0,19432.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
198,Mon Nov 15 2021,7:00p,Boston Celtics,98,Cleveland Cavaliers,92,0,17186.0,Rocket Mortgage Fieldhouse,Boston Celtics,False
215,Wed Nov 17 2021,7:30p,Cleveland Cavaliers,99,Brooklyn Nets,109,0,16922.0,Barclays Center,Brooklyn Nets,True
223,Thu Nov 18 2021,7:30p,Golden State Warriors,104,Cleveland Cavaliers,89,0,19432.0,Rocket Mortgage Fieldhouse,Golden State Warriors,False
252,Mon Nov 22 2021,7:00p,Brooklyn Nets,117,Cleveland Cavaliers,112,0,17387.0,Rocket Mortgage Fieldhouse,Brooklyn Nets,False
