,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
12,Wed Oct 20 2021,10:00p,Denver Nuggets,110,Phoenix Suns,98,0,16074.0,Phoenix Suns Arena,Denver Nuggets,False
23,Fri Oct 22 2021,9:00p,San Antonio Spurs,96,Denver Nuggets,102,0,19520.0,Ball Arena,Denver Nuggets,True
47,Mon Oct 25 2021,9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,0,14221.0,Ball Arena,Cleveland Cavaliers,False
53,Tue Oct 26 2021,10:00p,Denver Nuggets,110,Utah Jazz,122,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True
74,Fri Oct 29 2021,10:00p,Dallas Mavericks,75,Denver Nuggets,106,0,18315.0,Ball Arena,Denver Nuggets,True
86,Sat Oct 30 2021,9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,0,17136.0,Target Center,Denver Nuggets,False
99,Mon Nov 1 2021,8:00p,Denver Nuggets,97,Memphis Grizzlies,106,0,12683.0,FedEx Forum,Memphis Grizzlies,True
113,Wed Nov 3 2021,8:00p,Denver Nuggets,106,Memphis Grizzlies,108,0,12977.0,FedEx Forum,Memphis Grizzlies,True
132,Sat Nov 6 2021,5:00p,Houston Rockets,94,Denver Nuggets,95,0,16046.0,Ball Arena,Denver Nuggets,True
150,Mon Nov 8 2021,9:00p,Miami Heat,96,Denver Nuggets,113,0,15577.0,Ball Arena,Denver Nuggets,True
166,Wed Nov 10 2021,9:00p,Indiana Pacers,98,Denver Nuggets,101,0,15232.0,Ball Arena,Denver Nuggets,True
181,Fri Nov 12 2021,9:00p,Atlanta Hawks,96,Denver Nuggets,105,0,16849.0,Ball Arena,Denver Nuggets,True
196,Sun Nov 14 2021,8:00p,Portland Trail Blazers,95,Denver Nuggets,124,0,14583.0,Ball Arena,Denver Nuggets,True
203,Mon Nov 15 2021,8:00p,Denver Nuggets,101,Dallas Mavericks,111,0,19797.0,American Airlines Center,Dallas Mavericks,True
227,Thu Nov 18 2021,9:00p,Philadelphia 76ers,103,Denver Nuggets,89,0,14547.0,Ball Arena,Philadelphia 76ers,False
235,Fri Nov 19 2021,9:00p,Chicago Bulls,114,Denver Nuggets,108,0,19520.0,Ball Arena,Chicago Bulls,False
250,Sun Nov 21 2021,8:00p,Denver Nuggets,97,Phoenix Suns,126,0,16072.0,Phoenix Suns Arena,Phoenix Suns,True
264,Tue Nov 23 2021,10:00p,Denver Nuggets,100,Portland Trail Blazers,119,0,17052.0,Moda Center,Portland Trail Blazers,True
287,Fri Nov 26 2021,9:00p,Milwaukee Bucks,120,Denver Nuggets,109,0,19520.0,Ball Arena,Milwaukee Bucks,False
305,Mon Nov 29 2021,7:30p,Denver Nuggets,120,Miami Heat,111,0,19600.0,FTX Arena,Denver Nuggets,False
319,Wed Dec 1 2021,7:00p,Denver Nuggets,103,Orlando Magic,108,0,14191.0,Amway Center,Orlando Magic,True
341,Sat Dec 4 2021,1:00p,Denver Nuggets,113,New York Knicks,99,0,18272.0,Madison Square Garden (IV),Denver Nuggets,False
356,Mon Dec 6 2021,8:00p,Denver Nuggets,97,Chicago Bulls,109,0,21236.0,United Center,Chicago Bulls,True
374,Wed Dec 8 2021,8:00p,Denver Nuggets,120,New Orleans Pelicans,114,1,15035.0,Smoothie King Center,Denver Nuggets,False
380,Thu Dec 9 2021,8:30p,Denver Nuggets,111,San Antonio Spurs,123,0,12855.0,AT&T Center,San Antonio Spurs,True
396,Sat Dec 11 2021,8:30p,Denver Nuggets,127,San Antonio Spurs,112,0,14607.0,AT&T Center,Denver Nuggets,False
410,Mon Dec 13 2021,9:00p,Washington Wizards,107,Denver Nuggets,113,0,14632.0,Ball Arena,Denver Nuggets,True
422,Wed Dec 15 2021,9:00p,Minnesota Timberwolves,124,Denver Nuggets,107,0,15365.0,Ball Arena,Minnesota Timberwolves,False
431,Fri Dec 17 2021,7:30p,Denver Nuggets,133,Atlanta Hawks,115,0,16114.0,State Farm Arena,Denver Nuggets,False
465,Wed Dec 22 2021,8:00p,Denver Nuggets,94,Oklahoma City Thunder,108,0,14932.0,Paycom Center,Oklahoma City Thunder,True
473,Thu Dec 23 2021,9:00p,Charlotte Hornets,115,Denver Nuggets,107,0,17003.0,Ball Arena,Charlotte Hornets,False
490,Sun Dec 26 2021,9:00p,Denver Nuggets,103,Los Angeles Clippers,100,0,17759.0,Crypto.com Arena,Denver Nuggets,False
504,Tue Dec 28 2021,10:00p,Denver Nuggets,89,Golden State Warriors,86,0,18064.0,Chase Center,Denver Nuggets,False
531,Sat Jan 1 2022,8:00p,Denver Nuggets,124,Houston Rockets,111,0,18055.0,Toyota Center,Denver Nuggets,False
546,Mon Jan 3 2022,8:30p,Denver Nuggets,89,Dallas Mavericks,103,0,19767.0,American Airlines Center,Dallas Mavericks,True
563,Wed Jan 5 2022,10:00p,Utah Jazz,115,Denver Nuggets,109,0,14056.0,Ball Arena,Utah Jazz,False
576,Fri Jan 7 2022,9:00p,Sacramento Kings,111,Denver Nuggets,121,0,15966.0,Ball Arena,Denver Nuggets,True
590,Sun Jan 9 2022,7:00p,Denver Nuggets,99,Oklahoma City Thunder,95,0,14772.0,Paycom Center,Denver Nuggets,False
607,Tue Jan 11 2022,10:30p,Denver Nuggets,85,Los Angeles Clippers,87,0,15077.0,Crypto.com Arena,Los Angeles Clippers,True
621,Thu Jan 13 2022,10:00p,Portland Trail Blazers,108,Denver Nuggets,140,0,14972.0,Ball Arena,Denver Nuggets,True
639,Sat Jan 15 2022,9:00p,Los Angeles Lakers,96,Denver Nuggets,133,0,19520.0,Ball Arena,Denver Nuggets,True
