,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
7,Wed Oct 20 2021,8:00p,Houston Rockets,106,Minnesota Timberwolves,124,0,16079.0,Target Center,Minnesota Timberwolves,True
30,Sat Oct 23 2021,8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,0,15343.0,Target Center,Minnesota Timberwolves,True
46,Mon Oct 25 2021,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,0,14435.0,Target Center,New Orleans Pelicans,False
59,Wed Oct 27 2021,8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,0,17341.0,Fiserv Forum,Minnesota Timberwolves,False
86,Sat Oct 30 2021,9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,0,17136.0,Target Center,Denver Nuggets,False
100,Mon Nov 1 2021,8:00p,Orlando Magic,115,Minnesota Timberwolves,97,0,14744.0,Target Center,Orlando Magic,False
114,Wed Nov 3 2021,8:00p,Los Angeles Clippers,126,Minnesota Timberwolves,115,0,15386.0,Target Center,Los Angeles Clippers,False
128,Fri Nov 5 2021,8:00p,Los Angeles Clippers,104,Minnesota Timberwolves,84,0,17136.0,Target Center,Los Angeles Clippers,False
148,Mon Nov 8 2021,8:00p,Minnesota Timberwolves,118,Memphis Grizzlies,125,1,12416.0,FedEx Forum,Memphis Grizzlies,True
168,Wed Nov 10 2021,10:00p,Minnesota Timberwolves,110,Golden State Warriors,123,0,18064.0,Chase Center,Golden State Warriors,True
183,Fri Nov 12 2021,10:30p,Minnesota Timberwolves,107,Los Angeles Lakers,83,0,18997.0,Crypto.com Arena,Minnesota Timberwolves,False
190,Sat Nov 13 2021,10:30p,Minnesota Timberwolves,102,Los Angeles Clippers,129,0,15285.0,Crypto.com Arena,Los Angeles Clippers,True
205,Mon Nov 15 2021,8:00p,Phoenix Suns,99,Minnesota Timberwolves,96,0,16274.0,Target Center,Phoenix Suns,False
219,Wed Nov 17 2021,8:00p,Sacramento Kings,97,Minnesota Timberwolves,107,0,13108.0,Target Center,Minnesota Timberwolves,True
226,Thu Nov 18 2021,8:00p,San Antonio Spurs,90,Minnesota Timberwolves,115,0,13572.0,Target Center,Minnesota Timberwolves,True
244,Sat Nov 20 2021,8:00p,Memphis Grizzlies,95,Minnesota Timberwolves,138,0,17136.0,Target Center,Minnesota Timberwolves,True
258,Mon Nov 22 2021,8:00p,Minnesota Timberwolves,110,New Orleans Pelicans,96,0,15689.0,Smoothie King Center,Minnesota Timberwolves,False
273,Wed Nov 24 2021,8:00p,Miami Heat,101,Minnesota Timberwolves,113,0,17136.0,Target Center,Minnesota Timberwolves,True
280,Fri Nov 26 2021,7:00p,Minnesota Timberwolves,115,Charlotte Hornets,133,0,19314.0,Spectrum Center,Charlotte Hornets,True
291,Sat Nov 27 2021,6:00p,Minnesota Timberwolves,121,Philadelphia 76ers,120,2,21011.0,Wells Fargo Center,Minnesota Timberwolves,False
308,Mon Nov 29 2021,8:00p,Indiana Pacers,98,Minnesota Timberwolves,100,0,14191.0,Target Center,Minnesota Timberwolves,True
320,Wed Dec 1 2021,7:00p,Minnesota Timberwolves,107,Washington Wizards,115,0,15318.0,Capital One Arena,Washington Wizards,True
335,Fri Dec 3 2021,7:30p,Minnesota Timberwolves,105,Brooklyn Nets,110,0,17732.0,Barclays Center,Brooklyn Nets,True
358,Mon Dec 6 2021,8:00p,Atlanta Hawks,121,Minnesota Timberwolves,110,0,15736.0,Target Center,Atlanta Hawks,False
373,Wed Dec 8 2021,8:00p,Utah Jazz,136,Minnesota Timberwolves,104,0,15181.0,Target Center,Utah Jazz,False
386,Fri Dec 10 2021,8:00p,Cleveland Cavaliers,123,Minnesota Timberwolves,106,0,15694.0,Target Center,Cleveland Cavaliers,False
401,Sun Dec 12 2021,9:00p,Minnesota Timberwolves,116,Portland Trail Blazers,111,0,16591.0,Moda Center,Minnesota Timberwolves,False
422,Wed Dec 15 2021,9:00p,Minnesota Timberwolves,124,Denver Nuggets,107,0,15365.0,Ball Arena,Minnesota Timberwolves,False
435,Fri Dec 17 2021,10:00p,Los Angeles Lakers,92,Minnesota Timberwolves,110,0,17136.0,Target Center,Minnesota Timberwolves,True
449,Sun Dec 19 2021,8:00p,Dallas Mavericks,105,Minnesota Timberwolves,111,0,16127.0,Target Center,Minnesota Timberwolves,True
460,Tue Dec 21 2021,8:30p,Minnesota Timberwolves,102,Dallas Mavericks,114,0,20056.0,American Airlines Center,Dallas Mavericks,True
475,Thu Dec 23 2021,9:00p,Minnesota Timberwolves,116,Utah Jazz,128,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True
493,Mon Dec 27 2021,8:00p,Boston Celtics,103,Minnesota Timberwolves,108,0,15962.0,Target Center,Minnesota Timberwolves,True
502,Tue Dec 28 2021,8:00p,New York Knicks,96,Minnesota Timberwolves,88,0,16339.0,Target Center,New York Knicks,False
525,Fri Dec 31 2021,9:00p,Minnesota Timberwolves,108,Utah Jazz,120,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True
539,Sun Jan 2 2022,9:30p,Minnesota Timberwolves,103,Los Angeles Lakers,108,0,18343.0,Crypto.com Arena,Los Angeles Lakers,True
549,Mon Jan 3 2022,10:30p,Minnesota Timberwolves,122,Los Angeles Clippers,104,0,15959.0,Crypto.com Arena,Minnesota Timberwolves,False
562,Wed Jan 5 2022,8:00p,Oklahoma City Thunder,90,Minnesota Timberwolves,98,0,14375.0,Target Center,Minnesota Timberwolves,True
575,Fri Jan 7 2022,8:00p,Minnesota Timberwolves,135,Oklahoma City Thunder,105,0,14874.0,Paycom Center,Minnesota Timberwolves,False
589,Sun Jan 9 2022,7:00p,Minnesota Timberwolves,141,Houston Rockets,123,0,15277.0,Toyota Center,Minnesota Timberwolves,False
