,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
5,Wed Oct 20 2021,7:30p,Washington Wizards,98,Toronto Raptors,83,0,19800.0,Scotiabank Arena,Washington Wizards,False
17,Fri Oct 22 2021,7:00p,Indiana Pacers,134,Washington Wizards,135,1,15407.0,Capital One Arena,Washington Wizards,True
44,Mon Oct 25 2021,7:30p,Washington Wizards,90,Brooklyn Nets,104,0,14487.0,Barclays Center,Brooklyn Nets,True
55,Wed Oct 27 2021,7:30p,Washington Wizards,116,Boston Celtics,107,0,19156.0,TD Garden,Washington Wizards,False
64,Thu Oct 28 2021,7:00p,Atlanta Hawks,111,Washington Wizards,122,0,13653.0,Capital One Arena,Washington Wizards,True
77,Sat Oct 30 2021,5:00p,Boston Celtics,112,Washington Wizards,115,2,15813.0,Capital One Arena,Washington Wizards,True
96,Mon Nov 1 2021,7:30p,Washington Wizards,111,Atlanta Hawks,118,0,14632.0,State Farm Arena,Atlanta Hawks,True
111,Wed Nov 3 2021,7:00p,Toronto Raptors,109,Washington Wizards,100,0,13538.0,Capital One Arena,Toronto Raptors,False
125,Fri Nov 5 2021,7:00p,Memphis Grizzlies,87,Washington Wizards,115,0,16302.0,Capital One Arena,Washington Wizards,True
142,Sun Nov 7 2021,6:00p,Milwaukee Bucks,94,Washington Wizards,101,0,15570.0,Capital One Arena,Washington Wizards,True
157,Wed Nov 10 2021,7:00p,Washington Wizards,97,Cleveland Cavaliers,94,0,18056.0,Rocket Mortgage Fieldhouse,Washington Wizards,False
187,Sat Nov 13 2021,7:00p,Washington Wizards,104,Orlando Magic,92,0,17272.0,Amway Center,Washington Wizards,False
200,Mon Nov 15 2021,7:00p,New Orleans Pelicans,100,Washington Wizards,105,0,13914.0,Capital One Arena,Washington Wizards,True
212,Wed Nov 17 2021,7:00p,Washington Wizards,87,Charlotte Hornets,97,0,14402.0,Spectrum Center,Charlotte Hornets,True
224,Thu Nov 18 2021,7:30p,Washington Wizards,97,Miami Heat,112,0,19600.0,FTX Arena,Miami Heat,True
240,Sat Nov 20 2021,7:00p,Miami Heat,100,Washington Wizards,103,0,20476.0,Capital One Arena,Washington Wizards,True
253,Mon Nov 22 2021,7:00p,Charlotte Hornets,109,Washington Wizards,103,0,16575.0,Capital One Arena,Charlotte Hornets,False
274,Wed Nov 24 2021,8:00p,Washington Wizards,102,New Orleans Pelicans,127,0,14659.0,Smoothie King Center,New Orleans Pelicans,True
285,Fri Nov 26 2021,8:00p,Washington Wizards,101,Oklahoma City Thunder,99,0,14579.0,Paycom Center,Washington Wizards,False
