Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,154.1818181818182,342.0,0.45836363636363636,48.5,137.9090909090909,0.34690476190476194,105.68181818181819,204.0909090909091,0.47809523809523813,0.5429090909090909,65.5909090909091,87.18181818181819,0.7173157894736842,43.40909090909091,128.4090909090909,171.8181818181818,96.27272727272727,30.681818181818183,19.045454545454547,61.95454545454545,87.81818181818181,422.45454545454544
BOS,203.0,436.6470588235294,0.4813529411764706,60.705882352941174,166.41176470588235,0.3554,142.2941176470588,270.2352941176471,0.5470588235294118,0.5463529411764706,75.41176470588235,94.0,0.738875,47.294117647058826,167.58823529411765,214.88235294117646,126.76470588235294,41.529411764705884,25.58823529411765,59.94117647058823,98.23529411764706,542.1176470588235
BRK,173.73684210526315,387.2631578947368,0.4688947368421053,55.10526315789474,156.05263157894737,0.23073684210526318,118.63157894736842,231.21052631578948,0.5513157894736842,0.5236842105263158,81.84210526315789,109.89473684210526,0.6526315789473685,47.36842105263158,153.6315789473684,201.0,102.84210526315789,28.36842105263158,17.842105263157894,62.1578947368421,92.78947368421052,484.42105263157896
CHI,148.45454545454547,327.5,0.4494761904761905,33.86363636363637,96.5,0.31766666666666665,114.5909090909091,231.0,0.49019047619047623,0.5003809523809524,60.36363636363637,77.04545454545455,0.7643809523809524,32.63636363636363,127.22727272727273,159.86363636363637,81.63636363636364,27.40909090909091,15.954545454545455,50.27272727272727,75.5909090909091,391.1363636363636
CHO,193.94117647058823,433.05882352941177,0.4272941176470588,57.470588235294116,163.7058823529412,0.29633333333333334,136.47058823529412,269.3529411764706,0.48499999999999993,0.4748823529411765,88.82352941176471,111.47058823529412,0.7611333333333333,47.88235294117647,163.41176470588235,211.2941176470588,112.05882352941177,34.76470588235294,23.823529411764707,56.23529411764706,91.17647058823529,534.1764705882352
CLE,118.11111111111111,266.0740740740741,0.42036,31.37037037037037,88.44444444444444,0.3458260869565217,86.74074074074075,177.62962962962962,0.45311999999999997,0.48896,49.7037037037037,62.74074074074074,0.7996249999999999,32.55555555555556,97.0,129.55555555555554,62.888888888888886,19.77777777777778,7.222222222222222,38.370370370370374,60.81481481481482,317.2962962962963
DAL,151.52380952380952,339.14285714285717,0.42445000000000005,48.666666666666664,142.95238095238096,0.3442777777777778,102.85714285714286,196.1904761904762,0.48865,0.4952,73.38095238095238,98.85714285714286,0.72385,39.61904761904762,137.33333333333334,176.95238095238096,91.33333333333333,25.38095238095238,16.714285714285715,53.19047619047619,78.57142857142857,425.0952380952381
DEN,191.05555555555554,410.22222222222223,0.437,50.166666666666664,142.83333333333334,0.30533333333333335,140.88888888888889,267.3888888888889,0.4856666666666667,0.5036111111111111,71.88888888888889,95.22222222222223,0.6895294117647058,54.0,157.33333333333334,211.33333333333334,124.72222222222223,35.22222222222222,20.166666666666668,58.55555555555556,91.33333333333333,504.1666666666667
DET,159.25,361.9,0.37175,49.65,142.7,0.27294999999999997,109.6,219.2,0.45311111111111113,0.43695000000000006,70.75,94.65,0.7986666666666666,46.8,137.6,184.4,92.25,28.45,16.55,53.1,90.55,438.9
GSW,212.47058823529412,433.0,0.4963529411764706,63.94117647058823,166.11764705882354,0.2984,148.52941176470588,266.88235294117646,0.5451764705882354,0.5551764705882354,78.76470588235294,98.3529411764706,0.7108823529411765,46.88235294117647,175.88235294117646,222.76470588235293,141.94117647058823,36.76470588235294,30.88235294117647,66.3529411764706,103.3529411764706,567.6470588235294
