Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,94.2,212.4,0.42273333333333335,33.06666666666667,97.43333333333334,0.2960333333333333,61.13333333333333,114.96666666666667,0.5500666666666666,0.5002666666666666,39.63333333333333,53.53333333333333,0.7054137931034483,22.366666666666667,79.86666666666666,102.23333333333333,56.63333333333333,18.2,12.033333333333333,34.166666666666664,46.9,261.1
IND,155.75,328.35,0.44279999999999997,44.45,122.25,0.2887368421052631,111.3,206.1,0.49870000000000003,0.49684999999999996,59.15,74.65,0.8223499999999999,32.4,121.2,153.6,98.65,30.55,23.0,46.85,72.65,415.1
LAC,150.45,312.1,0.4506,51.35,124.9,0.3714,99.1,187.2,0.4774,0.53205,58.2,69.35,0.8365263157894737,33.9,125.05,158.95,87.8,25.45,14.75,44.7,69.15,410.45
LAL,153.94736842105263,326.1578947368421,0.47321052631578947,41.89473684210526,118.3157894736842,0.3310666666666667,112.05263157894737,207.8421052631579,0.5075263157894737,0.5392105263157895,65.3157894736842,88.36842105263158,0.7121666666666666,36.578947368421055,131.05263157894737,167.6315789473684,93.42105263157895,29.57894736842105,20.31578947368421,55.78947368421053,72.47368421052632,415.10526315789474
MEM,171.38888888888889,367.1111111111111,0.4425,44.611111111111114,125.44444444444444,0.31977777777777777,126.77777777777777,241.66666666666666,0.5221111111111111,0.5086111111111111,65.77777777777777,85.33333333333333,0.7612222222222222,44.611111111111114,141.27777777777777,185.88888888888889,107.66666666666667,36.388888888888886,20.22222222222222,50.888888888888886,74.94444444444444,453.1666666666667
MIA,134.47619047619048,287.0952380952381,0.4919047619047619,44.38095238095238,124.0952380952381,0.35055000000000003,90.0952380952381,163.0,0.56855,0.5773333333333334,57.19047619047619,72.38095238095238,0.69065,27.571428571428573,114.71428571428571,142.28571428571428,90.23809523809524,27.095238095238095,13.619047619047619,45.523809523809526,64.9047619047619,370.5238095238095
MIL,146.4090909090909,300.45454545454544,0.43613636363636366,47.18181818181818,121.31818181818181,0.3658181818181818,99.22727272727273,179.13636363636363,0.4721818181818182,0.5217272727272727,53.13636363636363,69.95454545454545,0.7548571428571429,33.68181818181818,123.81818181818181,157.5,83.36363636363636,26.59090909090909,15.181818181818182,43.81818181818182,56.54545454545455,393.1363636363636
MIN,183.25,409.125,0.45,59.0,169.125,0.32521428571428573,124.25,240.0,0.5175333333333333,0.5133333333333333,79.0625,103.875,0.7388,47.3125,148.5,195.8125,115.375,39.5,24.875,61.4375,94.1875,504.5625
NOP,145.71428571428572,305.3333333333333,0.4031904761904762,36.285714285714285,104.28571428571429,0.27528571428571424,109.42857142857143,201.04761904761904,0.5005499999999999,0.4651428571428572,65.19047619047619,89.42857142857143,0.7033157894736842,40.23809523809524,122.28571428571429,162.52380952380952,89.14285714285714,25.952380952380953,15.0,47.76190476190476,61.666666666666664,392.9047619047619
NYK,149.42105263157896,327.63157894736844,0.4041578947368421,44.578947368421055,113.84210526315789,0.2790625,104.84210526315789,213.78947368421052,0.472,0.4554736842105263,62.1578947368421,79.26315789473684,0.749,36.63157894736842,134.42105263157896,171.05263157894737,81.10526315789474,26.68421052631579,19.210526315789473,46.10526315789474,77.52631578947368,405.57894736842104
OKC,127.04545454545455,288.09090909090907,0.4439090909090909,38.95454545454545,114.95454545454545,0.2883809523809524,88.0909090909091,173.13636363636363,0.5257272727272727,0.5094090909090909,50.59090909090909,69.81818181818181,0.7457272727272727,32.5,116.72727272727273,149.22727272727272,72.18181818181819,22.90909090909091,14.363636363636363,50.36363636363637,59.31818181818182,343.6363636363636
ORL,98.35714285714286,229.39285714285714,0.4183214285714286,28.0,81.71428571428571,0.3255185185185185,70.35714285714286,147.67857142857142,0.46846428571428567,0.4787142857142857,42.714285714285715,55.107142857142854,0.7821111111111111,26.678571428571427,90.17857142857143,116.85714285714286,56.107142857142854,17.714285714285715,11.357142857142858,31.5,44.17857142857143,267.42857142857144
PHI,129.6086956521739,272.04347826086956,0.4018260869565218,35.26086956521739,94.30434782608695,0.272,94.34782608695652,177.7391304347826,0.4427391304347826,0.4584782608695652,61.26086956521739,79.82608695652173,0.68755,31.391304347826086,109.65217391304348,141.04347826086956,74.17391304347827,28.47826086956522,19.434782608695652,43.0,63.30434782608695,355.7391304347826
PHO,183.41176470588235,373.94117647058823,0.46399999999999997,55.294117647058826,146.47058823529412,0.3297058823529411,128.11764705882354,227.47058823529412,0.5321176470588235,0.5393529411764706,66.11764705882354,79.23529411764706,0.7691764705882354,37.05882352941177,144.8235294117647,181.88235294117646,114.05882352941177,30.41176470588235,18.352941176470587,50.8235294117647,80.82352941176471,488.2352941176471
POR,174.88235294117646,385.7647058823529,0.44123529411764706,66.58823529411765,172.88235294117646,0.3239375,108.29411764705883,212.88235294117646,0.4875294117647059,0.5080588235294118,75.41176470588235,91.6470588235294,0.7735000000000001,45.05882352941177,143.58823529411765,188.64705882352942,90.05882352941177,29.176470588235293,21.352941176470587,45.588235294117645,80.11764705882354,491.7647058823529
SAC,127.79166666666667,265.9166666666667,0.4495416666666667,36.416666666666664,100.0,0.2913181818181818,91.375,165.91666666666666,0.5104166666666666,0.5018333333333334,49.208333333333336,66.04166666666667,0.7637727272727273,28.083333333333332,96.125,124.20833333333333,76.5,22.625,14.916666666666666,38.5,58.333333333333336,341.2083333333333
SAS,167.44444444444446,362.1111111111111,0.4707777777777778,39.77777777777778,113.66666666666667,0.3798125,127.66666666666667,248.44444444444446,0.5218888888888888,0.5202777777777778,69.66666666666667,88.0,0.7715882352941177,37.166666666666664,138.27777777777777,175.44444444444446,97.72222222222223,28.055555555555557,20.333333333333332,43.94444444444444,71.83333333333333,444.3333333333333
TOR,129.95454545454547,290.1363636363636,0.4715,47.31818181818182,128.6818181818182,0.3624,82.63636363636364,161.45454545454547,0.5217727272727273,0.5549090909090909,56.90909090909091,69.81818181818181,0.7873181818181819,30.90909090909091,105.18181818181819,136.0909090909091,78.86363636363636,28.09090909090909,17.681818181818183,40.81818181818182,69.36363636363636,364.1363636363636
TOT,133.55696202531647,293.39240506329116,0.44654430379746834,38.58227848101266,110.36708860759494,0.323987012987013,94.9746835443038,183.0253164556962,0.5082025316455696,0.5095696202531645,56.58227848101266,73.9367088607595,0.7582692307692308,36.278481012658226,121.9493670886076,158.22784810126583,82.0506329113924,27.60759493670886,18.39240506329114,46.36708860759494,70.0,362.27848101265823
UTA,165.05555555555554,352.44444444444446,0.4471111111111111,66.94444444444444,172.11111111111111,0.3005294117647059,98.11111111111111,180.33333333333334,0.5015,0.5349444444444444,68.61111111111111,85.88888888888889,0.8324444444444444,42.5,150.5,193.0,94.61111111111111,26.333333333333332,20.61111111111111,54.05555555555556,74.16666666666667,465.6666666666667
WAS,148.0,311.76190476190476,0.44442857142857145,34.904761904761905,99.42857142857143,0.30485,113.0952380952381,212.33333333333334,0.52105,0.5014761904761905,69.0,89.71428571428571,0.7484736842105263,33.19047619047619,121.76190476190476,154.95238095238096,87.38095238095238,25.142857142857142,14.142857142857142,47.76190476190476,74.04761904761905,399.9047619047619
