,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
27,TOR,157.27272727272728,332.04545454545456,0.4455454545454545,46.13636363636363,125.95454545454544,0.3700909090909091,111.13636363636364,206.0909090909091,0.4762727272727272,0.5241363636363636,65.86363636363636,81.95454545454545,0.8124761904761906,35.72727272727273,132.72727272727272,168.45454545454547,94.77272727272728,30.90909090909091,19.863636363636363,49.68181818181818,78.36363636363636,426.54545454545456
29,UTA,184.11111111111111,393.44444444444446,0.4574444444444444,55.16666666666666,154.94444444444446,0.3286,128.94444444444446,238.5,0.5185,0.5232777777777778,85.55555555555556,116.22222222222224,0.7692222222222223,45.55555555555556,165.61111111111111,211.16666666666663,118.5,36.833333333333336,26.83333333333333,67.22222222222223,96.0,508.94444444444446
30,WAS,138.24,295.48,0.45232,37.2,109.24,0.320125,101.04,186.24,0.526,0.5209600000000001,60.32,78.52,0.7310952380952381,31.76,107.16,138.92,86.16,27.32,15.16,44.8,68.04,374.0
0,ATL,129.66666666666666,288.9047619047619,0.4052380952380952,38.333333333333336,115.04761904761904,0.2596666666666666,91.33333333333331,173.85714285714286,0.4613809523809524,0.4601904761904761,58.90476190476191,74.57142857142857,0.7623684210526316,31.476190476190474,106.52380952380952,138.0,76.42857142857143,24.904761904761905,16.238095238095237,50.23809523809524,73.71428571428571,356.57142857142856
1,BOS,174.76470588235293,379.2941176470589,0.4756470588235294,53.23529411764706,146.2941176470588,0.3202666666666667,121.52941176470588,233.0,0.5247058823529411,0.5284705882352941,78.58823529411765,98.11764705882354,0.7642352941176471,45.1764705882353,149.94117647058823,195.11764705882356,97.3529411764706,35.0,23.88235294117647,55.70588235294117,91.3529411764706,481.3529411764706
2,BRK,121.16666666666669,270.75,0.4394583333333333,39.208333333333336,114.41666666666669,0.2956363636363636,81.95833333333333,156.33333333333334,0.5124166666666666,0.505875,53.79166666666666,72.16666666666667,0.7524090909090909,31.916666666666668,111.79166666666669,143.70833333333334,73.375,19.33333333333333,13.458333333333334,43.583333333333336,62.91666666666666,335.3333333333333
3,CHI,151.35294117647058,338.94117647058823,0.4809411764705882,46.64705882352941,134.23529411764707,0.295,104.70588235294116,204.7058823529412,0.5545294117647058,0.5399411764705883,59.1764705882353,78.3529411764706,0.7305294117647059,40.0,120.05882352941175,160.05882352941177,88.82352941176471,38.35294117647059,15.588235294117649,55.94117647058823,83.3529411764706,408.52941176470586
4,CHO,151.5625,349.125,0.40875,49.0625,139.4375,0.3083333333333333,102.5,209.6875,0.451125,0.4676875,65.75,87.875,0.7725,44.6875,129.125,173.8125,96.8125,26.75,16.75,56.4375,76.4375,417.9375
5,CLE,124.71428571428572,272.1428571428572,0.4496842105263158,34.61904761904762,98.57142857142856,0.295,90.0952380952381,173.57142857142858,0.5215263157894737,0.4995263157894736,46.80952380952381,61.71428571428572,0.6864444444444444,33.523809523809526,103.42857142857144,136.95238095238096,71.42857142857143,21.285714285714285,10.047619047619047,48.66666666666666,56.57142857142857,330.85714285714283
6,DAL,164.42105263157896,356.42105263157896,0.4524210526315789,59.78947368421053,162.89473684210526,0.2856315789473684,104.63157894736842,193.52631578947367,0.508421052631579,0.5206315789473684,73.26315789473684,94.05263157894736,0.7958947368421052,41.63157894736842,143.6315789473684,185.26315789473685,97.3157894736842,24.210526315789476,19.105263157894736,47.8421052631579,76.94736842105263,461.89473684210526
7,DEN,146.14285714285714,308.95238095238096,0.4812857142857142,38.142857142857146,106.38095238095238,0.3694210526315789,108.0,202.57142857142856,0.5171904761904762,0.5449047619047619,56.42857142857143,72.66666666666667,0.7763157894736842,37.42857142857143,116.0,153.42857142857142,92.95238095238096,27.904761904761905,16.047619047619047,45.42857142857143,70.71428571428571,386.8571428571428
8,DET,117.95454545454544,257.1818181818182,0.4120909090909091,35.95454545454545,98.04545454545456,0.3285238095238095,82.0,159.13636363636363,0.4406190476190476,0.4890909090909091,49.86363636363637,67.0909090909091,0.7044,29.272727272727277,95.86363636363636,125.13636363636364,72.22727272727273,22.272727272727277,13.590909090909092,43.63636363636363,59.04545454545455,321.72727272727275
9,GSW,114.0909090909091,260.45454545454544,0.4103636363636364,30.818181818181817,92.36363636363636,0.2983809523809523,83.27272727272727,168.0909090909091,0.4633181818181818,0.4691363636363636,55.18181818181818,68.68181818181819,0.7626363636363636,29.40909090909091,97.1818181818182,126.5909090909091,75.5909090909091,24.272727272727277,13.590909090909092,42.27272727272727,59.27272727272727,314.1818181818182
10,HOU,139.8095238095238,310.0952380952381,0.4318571428571428,53.61904761904762,155.28571428571428,0.2593157894736841,86.19047619047619,154.8095238095238,0.6046,0.5063809523809524,70.66666666666667,89.33333333333333,0.7290000000000001,33.523809523809526,118.28571428571428,151.8095238095238,74.14285714285714,29.857142857142858,17.666666666666668,48.61904761904762,74.57142857142857,403.9047619047619
11,IND,180.8823529411765,379.8235294117647,0.4491764705882353,43.70588235294117,120.3529411764706,0.2902941176470588,137.1764705882353,259.47058823529414,0.5243529411764706,0.4999411764705883,64.47058823529412,81.94117647058823,0.7481333333333333,37.41176470588236,146.41176470588235,183.8235294117647,111.05882352941175,31.94117647058824,22.11764705882353,54.41176470588236,85.0,469.9411764705882
12,LAC,149.6,321.25,0.46795,44.75,120.5,0.3617894736842105,104.85,200.75,0.5142,0.544,74.9,94.7,0.74965,38.35,133.2,171.55,85.4,25.55,16.9,49.95,79.7,418.85
13,LAL,150.3,313.45,0.4644,39.1,112.1,0.3521764705882353,111.2,201.35,0.52415,0.5232,63.0,86.4,0.7356666666666667,37.85,124.5,162.35,90.15,30.6,23.4,52.05,73.55,402.7
14,MEM,147.9047619047619,315.9047619047619,0.4458095238095238,38.0,109.38095238095238,0.356047619047619,109.9047619047619,206.52380952380952,0.4933809523809524,0.5165714285714286,57.71428571428572,75.66666666666667,0.7678571428571429,35.904761904761905,125.85714285714286,161.76190476190476,93.57142857142856,27.428571428571427,18.952380952380956,50.71428571428572,73.61904761904762,391.5238095238095
15,MIA,137.14285714285714,293.3333333333333,0.4458095238095238,46.61904761904762,123.04761904761904,0.3089,90.52380952380952,170.28571428571428,0.4868095238095238,0.5241904761904762,68.57142857142857,87.61904761904762,0.6886666666666668,29.52380952380953,124.71428571428572,154.23809523809524,90.0952380952381,26.047619047619047,15.80952380952381,48.47619047619048,71.47619047619048,389.4761904761905
16,MIL,185.8823529411765,390.4705882352941,0.4588823529411764,59.23529411764706,167.05882352941177,0.329,126.6470588235294,223.41176470588235,0.5585882352941177,0.5395882352941177,78.58823529411765,105.88235294117646,0.7314705882352941,40.64705882352941,181.35294117647055,222.0,111.11764705882354,30.94117647058824,25.235294117647054,62.88235294117647,84.17647058823529,509.5882352941176
17,MIN,107.75,244.375,0.4015833333333333,35.541666666666664,105.83333333333331,0.2858333333333333,72.20833333333333,138.54166666666666,0.5338636363636363,0.4645416666666667,50.958333333333336,67.66666666666667,0.7535652173913043,28.125,91.375,119.5,63.54166666666666,23.125,15.083333333333334,39.29166666666666,57.083333333333336,302.0
18,NOP,180.2941176470588,388.11764705882354,0.4924117647058824,57.76470588235294,156.23529411764707,0.3256875,122.52941176470588,231.8823529411765,0.5434705882352941,0.5525882352941176,72.29411764705883,99.23529411764706,0.6633333333333333,46.88235294117647,150.05882352941177,196.94117647058823,113.6470588235294,31.705882352941178,21.058823529411764,67.23529411764706,89.6470588235294,490.6470588235294
19,NYK,155.1764705882353,346.8235294117647,0.4364705882352941,37.11764705882353,110.11764705882354,0.308375,118.05882352941175,236.7058823529412,0.4854705882352941,0.4941176470588235,63.294117647058826,91.17647058823528,0.7061176470588235,46.76470588235294,133.76470588235293,180.52941176470588,85.6470588235294,29.647058823529413,18.41176470588235,53.76470588235294,86.11764705882354,410.7647058823529
20,OKC,159.94444444444446,342.0,0.3936666666666666,42.77777777777778,120.61111111111111,0.3045294117647059,117.16666666666669,221.38888888888889,0.4646111111111111,0.4529444444444445,79.0,99.27777777777776,0.7189333333333334,32.94444444444444,138.61111111111111,171.55555555555554,86.77777777777777,30.55555555555556,19.61111111111111,51.94444444444444,77.22222222222223,441.6666666666667
21,ORL,151.10526315789474,340.42105263157896,0.4125789473684211,42.47368421052632,123.89473684210526,0.3024444444444444,108.63157894736842,216.52631578947367,0.4705789473684211,0.4702105263157895,67.47368421052632,87.15789473684211,0.714421052631579,39.526315789473685,131.47368421052633,171.0,91.94736842105264,31.526315789473685,20.84210526315789,46.78947368421053,70.3157894736842,412.1578947368421
22,PHI,157.89473684210526,337.7368421052632,0.4587894736842106,44.63157894736842,121.42105263157896,0.301578947368421,113.26315789473684,216.31578947368425,0.5241052631578947,0.5205263157894737,65.05263157894737,86.21052631578948,0.6922105263157895,40.21052631578947,134.3684210526316,174.57894736842104,99.15789473684212,30.84210526315789,20.473684210526315,51.8421052631579,80.47368421052632,425.4736842105263
23,PHO,158.21052631578948,338.3684210526316,0.4218947368421052,43.73684210526316,122.10526315789474,0.2781052631578947,114.47368421052632,216.26315789473685,0.5032105263157894,0.4768947368421052,76.36842105263158,91.57894736842104,0.8344444444444444,37.47368421052632,129.73684210526315,167.21052631578948,104.57894736842104,29.42105263157895,15.263157894736842,54.578947368421055,84.6842105263158,436.5263157894737
24,POR,164.31578947368422,355.2105263157895,0.4656315789473684,50.10526315789474,132.89473684210526,0.3224444444444445,114.21052631578948,222.31578947368425,0.510421052631579,0.5236315789473684,69.05263157894737,85.89473684210526,0.7411052631578947,39.68421052631579,136.78947368421052,176.47368421052633,80.26315789473684,24.473684210526315,23.73684210526316,48.42105263157895,84.52631578947368,447.7894736842105
25,SAC,127.95652173913044,276.69565217391306,0.4649130434782608,39.73913043478261,109.17391304347828,0.2696,88.21739130434783,167.52173913043478,0.5651304347826087,0.5101304347826087,49.0,63.65217391304348,0.7349545454545455,30.217391304347824,103.1304347826087,133.34782608695653,74.47826086956522,24.17391304347826,12.73913043478261,43.04347826086956,69.34782608695652,344.6521739130435
26,SAS,166.38888888888889,352.77777777777777,0.4501111111111111,42.22222222222222,112.27777777777776,0.3783125,124.16666666666669,240.5,0.477,0.5044444444444445,74.88888888888889,92.44444444444444,0.7549411764705882,35.55555555555556,140.55555555555554,176.11111111111111,97.27777777777776,28.77777777777778,21.666666666666668,48.22222222222222,76.5,449.8888888888889
27,TOR,160.94444444444446,351.72222222222223,0.4528888888888888,55.27777777777778,147.94444444444446,0.3666111111111111,105.66666666666669,203.77777777777777,0.516888888888889,0.5341666666666667,73.83333333333333,92.77777777777776,0.7482777777777777,38.05555555555556,143.5,181.55555555555557,100.88888888888889,35.333333333333336,19.88888888888889,56.16666666666666,86.61111111111111,451.0
29,UTA,144.3,306.5,0.432,48.15,126.85,0.3521111111111111,96.15,179.65,0.49085,0.49605,63.9,82.05,0.7740526315789474,32.8,128.85,161.65,80.75,21.9,14.6,52.25,73.4,400.65
30,WAS,130.0,284.5217391304348,0.4467391304347826,37.56521739130435,101.95652173913044,0.3366086956521739,92.43478260869566,182.56521739130437,0.4763913043478261,0.5186086956521739,60.60869565217392,76.95652173913044,0.7434499999999999,31.82608695652174,99.78260869565216,131.6086956521739,78.30434782608695,24.956521739130437,13.434782608695652,42.391304347826086,71.04347826086956,358.17391304347825
0,ATL,163.16666666666666,348.94444444444446,0.4317222222222222,49.72222222222222,133.44444444444446,0.2995294117647059,113.44444444444444,215.5,0.4720555555555555,0.4968333333333333,78.72222222222223,96.94444444444444,0.7838333333333334,42.22222222222222,140.27777777777777,182.5,96.5,27.944444444444443,19.0,50.77777777777778,77.33333333333333,454.77777777777777
1,BOS,142.14285714285714,304.8095238095238,0.471,46.61904761904762,124.66666666666669,0.31635,95.52380952380952,180.14285714285714,0.5289047619047619,0.5406666666666666,55.23809523809524,71.23809523809524,0.7183333333333334,36.42857142857143,115.28571428571428,151.71428571428572,80.42857142857143,26.476190476190474,18.23809523809524,45.90476190476191,70.04761904761905,386.1428571428572
2,BRK,115.03703703703704,232.92592592592592,0.4344444444444444,37.77777777777778,96.29629629629628,0.3114166666666667,77.25925925925925,136.62962962962962,0.4869259259259259,0.4925925925925926,48.333333333333336,60.11111111111112,0.7932727272727274,23.703703703703702,94.77777777777776,118.48148148148148,71.44444444444444,17.925925925925927,14.037037037037036,34.96296296296296,50.77777777777778,316.1851851851852
